"epsilon_em","epsilon_cvar","cost","emission","cvar"
        0.00,     7327.39,4.1256247E+9,        0.00,     7327.39
        0.00,     7943.47,3.4758279E+9,        0.00,     7943.47
        0.00,     8559.55,3.2692514E+9,        0.00,     8559.55
        0.00,     9175.62,3.2655908E+9,        0.00,     9175.62
        0.00,     9791.70,3.2655908E+9,        0.00,     9791.70
        0.00,    10407.77,3.2655908E+9,        0.00,    10407.77
  1874541.67,     7327.39,4.1254376E+9,     9461.42,     7327.39
  1874541.67,     7943.47,3.4451448E+9,   124412.60,     7943.47
  1874541.67,     8559.55,3.2343419E+9,    30489.85,     8559.55
  1874541.67,     9175.62,3.1544200E+9,    26615.65,     9175.62
  1874541.67,     9791.70,3.1438111E+9,   218988.10,     9791.70
  1874541.67,    10407.77,3.1405831E+9,   440714.77,    10407.77
  3749083.34,     7327.39,4.1254376E+9,     9461.42,     7327.39
  3749083.34,     7943.47,3.4451448E+9,   124412.60,     7943.47
  3749083.34,     8559.55,3.2343419E+9,    30489.85,     8559.55
  3749083.34,     9175.62,3.1544200E+9,    26615.65,     9175.62
  3749083.34,     9791.70,3.1438111E+9,   218988.10,     9791.70
  3749083.34,    10407.77,3.1405831E+9,   440714.77,    10407.77
  5623625.01,     7327.39,4.1254376E+9,     9461.42,     7327.39
  5623625.01,     7943.47,3.4451448E+9,   124412.60,     7943.47
  5623625.01,     8559.55,3.2343419E+9,    30489.85,     8559.55
  5623625.01,     9175.62,3.1544200E+9,    26615.65,     9175.62
  5623625.01,     9791.70,3.1438111E+9,   218988.10,     9791.70
  5623625.01,    10407.77,3.1405831E+9,   440714.77,    10407.77
  7498166.68,     7327.39,4.1254376E+9,     9461.42,     7327.39
  7498166.68,     7943.47,3.4451448E+9,   124412.60,     7943.47
  7498166.68,     8559.55,3.2343419E+9,    30489.85,     8559.55
  7498166.68,     9175.62,3.1544200E+9,    26615.65,     9175.62
  7498166.68,     9791.70,3.1438111E+9,   218988.10,     9791.70
  7498166.68,    10407.77,3.1405831E+9,   440714.77,    10407.77
  9372708.35,     7327.39,4.1254376E+9,     9461.42,     7327.39
  9372708.35,     7943.47,3.4451448E+9,   124412.60,     7943.47
  9372708.35,     8559.55,3.2343419E+9,    30489.85,     8559.55
  9372708.35,     9175.62,3.1544200E+9,    26615.65,     9175.62
  9372708.35,     9791.70,3.1438111E+9,   218988.10,     9791.70
  9372708.35,    10407.77,3.1405831E+9,   440714.77,    10407.77
