"epsilon_cost","epsilon_em","cost","emission","cvar"
3.1405831E+9,        0.00,3.1405831E+9,        0.00,211264376.61
3.1405831E+9,  1703732.65,3.1405831E+9,   440663.77,    10407.77
3.1405831E+9,  3407465.30,3.1405831E+9,   440663.67,    10407.69
3.1405831E+9,  5111197.95,3.1405831E+9,   440663.67,    10407.69
3.1405831E+9,  6814930.60,3.1405831E+9,   440663.67,    10407.69
3.1405831E+9,  8518663.25,3.1405831E+9,   440663.67,    10407.69
1.279263E+10,        0.00,1.214435E+10,        0.00,     7327.39
1.279263E+10,  1703732.65,8.5897792E+9,   114218.54,     7327.39
1.279263E+10,  3407465.30,1.279263E+10,     1318.46,     7327.39
1.279263E+10,  5111197.95,1.279263E+10,       52.32,     7327.39
1.279263E+10,  6814930.60,1.279263E+10,    62708.83,     7327.39
1.279263E+10,  8518663.25,1.279263E+10,     3057.85,     7327.39
2.244467E+10,        0.00,1.986555E+10,        0.00,     7327.39
2.244467E+10,  1703732.65,2.244467E+10,        0.00,     7327.39
2.244467E+10,  3407465.30,2.244467E+10,  2782155.75,     7327.39
2.244467E+10,  5111197.95,2.244467E+10,      134.99,     7327.39
2.244467E+10,  6814930.60,2.244467E+10,  6194769.44,     7327.39
2.244467E+10,  8518663.25,1.309625E+10,  4102731.43,     7327.39
3.209671E+10,        0.00,3.209671E+10,        0.00,     7327.39
3.209671E+10,  1703732.65,3.209671E+10,   318853.39,     7327.39
3.209671E+10,  3407465.30,3.209671E+10,  1879806.61,     7327.39
3.209671E+10,  5111197.95,3.209671E+10,       17.99,     7327.39
3.209671E+10,  6814930.60,3.209671E+10,      208.48,     7327.39
3.209671E+10,  8518663.25,3.209671E+10,     1576.18,     7327.39
4.174876E+10,        0.00,4.174876E+10,        0.00,     7327.39
4.174876E+10,  1703732.65,4.174876E+10,  1193432.44,     7327.39
4.174876E+10,  3407465.30,4.174876E+10,  2813886.22,     7327.39
4.174876E+10,  5111197.95,4.174876E+10,  5111197.95,     7327.39
4.174876E+10,  6814930.60,4.174876E+10,      148.79,     7327.39
4.174876E+10,  8518663.25,4.174876E+10,      875.11,     7327.39
5.140080E+10,        0.00,4.770389E+10,        0.00,     7327.39
5.140080E+10,  1703732.65,5.140080E+10,       39.16,     7327.39
5.140080E+10,  3407465.30,5.140080E+10,        0.00,     7327.39
5.140080E+10,  5111197.95,5.140080E+10,        0.00,     7327.39
5.140080E+10,  6814930.60,5.140080E+10,       52.32,     7327.39
5.140080E+10,  8518663.25,5.140080E+10,      240.27,     7327.39
