Line,Total_Flow_E_MWh
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
l1          ,  -450670.20
