Node,Thermal_Tech,Generation(MWh)
se1         ,gas         ,        0.00
se1         ,oil         ,        0.00
se1         ,nuclear     ,        0.00
se1         ,chp_coal    ,        0.00
se1         ,chp_waste   ,        0.00
se1         ,chp_gas     ,        0.00
se1         ,chp_peat    ,        0.00
se1         ,chp_biomass ,   215550.12
se2         ,gas         ,        0.00
se2         ,oil         ,        0.00
se2         ,nuclear     ,        0.00
se2         ,chp_coal    ,        0.00
se2         ,chp_waste   ,        0.00
se2         ,chp_gas     ,        0.00
se2         ,chp_peat    ,        0.00
se2         ,chp_biomass ,        0.00
se3         ,gas         ,        0.00
se3         ,oil         ,        0.00
se3         ,nuclear     , 62558096.58
se3         ,chp_coal    ,        0.00
se3         ,chp_waste   ,        0.00
se3         ,chp_gas     ,        0.00
se3         ,chp_peat    ,        0.00
se3         ,chp_biomass ,  4239138.91
se4         ,gas         ,        0.00
se4         ,oil         ,        0.00
se4         ,nuclear     ,        0.00
se4         ,chp_coal    ,        0.00
se4         ,chp_waste   ,        0.00
se4         ,chp_gas     ,        0.00
se4         ,chp_peat    ,        0.00
se4         ,chp_biomass ,        0.00
