"epsilon_em","epsilon_cvar","cost","emission","cvar"
    98006.33,     7431.91,3.9534587E+9,    10122.48,     7431.91
    98006.33,     8027.08,3.3994079E+9,    98006.33,     8027.08
    98006.33,     8622.25,3.2217089E+9,    27384.37,     8622.25
    98006.33,     9217.43,3.1531944E+9,    27235.73,     9217.43
    98006.33,     9812.60,3.1446184E+9,    98006.33,     9812.60
    98006.33,    10407.77,3.1444559E+9,    98006.33,    10407.77
   166548.02,     7431.91,3.9534587E+9,    10122.48,     7431.91
   166548.02,     8027.08,3.3991993E+9,   157672.82,     8027.08
   166548.02,     8622.25,3.2217089E+9,    27384.37,     8622.25
   166548.02,     9217.43,3.1531944E+9,    27235.73,     9217.43
   166548.02,     9812.60,3.1437319E+9,   166548.02,     9812.60
   166548.02,    10407.77,3.1426583E+9,   166548.02,    10407.77
   235089.71,     7431.91,3.9534587E+9,    10122.48,     7431.91
   235089.71,     8027.08,3.3991993E+9,   157672.82,     8027.08
   235089.71,     8622.25,3.2217089E+9,    27384.37,     8622.25
   235089.71,     9217.43,3.1531944E+9,    27235.73,     9217.43
   235089.71,     9812.60,3.1436083E+9,   224527.14,     9812.60
   235089.71,    10407.77,3.1416316E+9,   235089.71,    10407.77
   303631.39,     7431.91,3.9534587E+9,    10122.48,     7431.91
   303631.39,     8027.08,3.3991993E+9,   157672.82,     8027.08
   303631.39,     8622.25,3.2217089E+9,    27384.37,     8622.25
   303631.39,     9217.43,3.1531944E+9,    27235.73,     9217.43
   303631.39,     9812.60,3.1436083E+9,   224527.14,     9812.60
   303631.39,    10407.77,3.1410076E+9,   303631.39,    10407.77
   372173.08,     7431.91,3.9534587E+9,    10122.48,     7431.91
   372173.08,     8027.08,3.3991993E+9,   157672.82,     8027.08
   372173.08,     8622.25,3.2217089E+9,    27384.37,     8622.25
   372173.08,     9217.43,3.1531944E+9,    27235.73,     9217.43
   372173.08,     9812.60,3.1436083E+9,   224527.14,     9812.60
   372173.08,    10407.77,3.1406783E+9,   372173.08,    10407.77
   440714.77,     7431.91,3.9534587E+9,    10122.48,     7431.91
   440714.77,     8027.08,3.3991993E+9,   157672.82,     8027.08
   440714.77,     8622.25,3.2217089E+9,    27384.37,     8622.25
   440714.77,     9217.43,3.1531944E+9,    27235.73,     9217.43
   440714.77,     9812.60,3.1436083E+9,   224527.14,     9812.60
   440714.77,    10407.77,3.1405831E+9,   440711.81,    10407.77
